date,Alibaba
2020-01-01,71
2020-02-01,67
2020-03-01,64
2020-04-01,68
2020-05-01,81
2020-06-01,75
2020-07-01,78
2020-08-01,76
2020-09-01,71
2020-10-01,67
2020-11-01,81
2020-12-01,80
2021-01-01,100
2021-02-01,79
2021-03-01,85
2021-04-01,81
2021-05-01,76
2021-06-01,72
2021-07-01,74
2021-08-01,75
2021-09-01,77
2021-10-01,66
2021-11-01,68
2021-12-01,66
2022-01-01,76
2022-02-01,76
2022-03-01,80
2022-04-01,72
2022-05-01,72
2022-06-01,74
2022-07-01,73
2022-08-01,77
2022-09-01,78
2022-10-01,71
2022-11-01,72
2022-12-01,77
2023-01-01,84
2023-02-01,79
2023-03-01,78
2023-04-01,75
2023-05-01,74
2023-06-01,69
2023-07-01,73
2023-08-01,74
2023-09-01,69
2023-10-01,60
2023-11-01,64
2023-12-01,59
2024-01-01,68
2024-02-01,71
2024-03-01,66
2024-04-01,60
2024-05-01,63
2024-06-01,62
2024-07-01,62
2024-08-01,65
2024-09-01,64
2024-10-01,62
2024-11-01,60
2024-12-01,58
2025-01-01,65
2025-02-01,74
2025-03-01,64
2025-04-01,67
2025-05-01,62
2025-06-01,59
2025-07-01,63
2025-08-01,78
