date,smart home
2020-01-01,63
2020-02-01,54
2020-03-01,49
2020-04-01,60
2020-05-01,72
2020-06-01,64
2020-07-01,57
2020-08-01,56
2020-09-01,56
2020-10-01,59
2020-11-01,68
2020-12-01,72
2021-01-01,62
2021-02-01,56
2021-03-01,52
2021-04-01,57
2021-05-01,61
2021-06-01,55
2021-07-01,51
2021-08-01,49
2021-09-01,47
2021-10-01,53
2021-11-01,61
2021-12-01,61
2022-01-01,66
2022-02-01,58
2022-03-01,56
2022-04-01,58
2022-05-01,54
2022-06-01,55
2022-07-01,50
2022-08-01,51
2022-09-01,56
2022-10-01,56
2022-11-01,58
2022-12-01,62
2023-01-01,60
2023-02-01,54
2023-03-01,49
2023-04-01,50
2023-05-01,49
2023-06-01,52
2023-07-01,49
2023-08-01,47
2023-09-01,50
2023-10-01,54
2023-11-01,59
2023-12-01,61
2024-01-01,58
2024-02-01,57
2024-03-01,51
2024-04-01,50
2024-05-01,53
2024-06-01,52
2024-07-01,51
2024-08-01,51
2024-09-01,52
2024-10-01,57
2024-11-01,66
2024-12-01,70
2025-01-01,65
2025-02-01,64
2025-03-01,61
2025-04-01,64
2025-05-01,65
2025-06-01,67
2025-07-01,75
2025-08-01,100
