date,Cybertruck price
2020-01-01,22
2020-02-01,18
2020-03-01,10
2020-04-01,8
2020-05-01,12
2020-06-01,16
2020-07-01,17
2020-08-01,12
2020-09-01,11
2020-10-01,14
2020-11-01,10
2020-12-01,10
2021-01-01,15
2021-02-01,13
2021-03-01,12
2021-04-01,14
2021-05-01,20
2021-06-01,12
2021-07-01,13
2021-08-01,13
2021-09-01,9
2021-10-01,12
2021-11-01,15
2021-12-01,13
2022-01-01,15
2022-02-01,10
2022-03-01,12
2022-04-01,15
2022-05-01,12
2022-06-01,11
2022-07-01,10
2022-08-01,9
2022-09-01,7
2022-10-01,8
2022-11-01,7
2022-12-01,8
2023-01-01,9
2023-02-01,10
2023-03-01,7
2023-04-01,10
2023-05-01,10
2023-06-01,10
2023-07-01,21
2023-08-01,16
2023-09-01,13
2023-10-01,17
2023-11-01,44
2023-12-01,92
2024-01-01,27
2024-02-01,43
2024-03-01,69
2024-04-01,80
2024-05-01,92
2024-06-01,100
2024-07-01,98
2024-08-01,94
2024-09-01,65
2024-10-01,66
2024-11-01,73
2024-12-01,75
2025-01-01,68
2025-02-01,41
2025-03-01,48
2025-04-01,38
2025-05-01,30
2025-06-01,27
2025-07-01,31
2025-08-01,59
