date,Iraq conflict
2020-01-01,93
2020-02-01,24
2020-03-01,24
2020-04-01,30
2020-05-01,31
2020-06-01,19
2020-07-01,12
2020-08-01,14
2020-09-01,22
2020-10-01,22
2020-11-01,23
2020-12-01,17
2021-01-01,15
2021-02-01,18
2021-03-01,19
2021-04-01,23
2021-05-01,32
2021-06-01,14
2021-07-01,11
2021-08-01,15
2021-09-01,18
2021-10-01,16
2021-11-01,19
2021-12-01,14
2022-01-01,17
2022-02-01,36
2022-03-01,45
2022-04-01,46
2022-05-01,46
2022-06-01,20
2022-07-01,15
2022-08-01,18
2022-09-01,23
2022-10-01,29
2022-11-01,29
2022-12-01,25
2023-01-01,27
2023-02-01,31
2023-03-01,32
2023-04-01,38
2023-05-01,42
2023-06-01,19
2023-07-01,14
2023-08-01,12
2023-09-01,23
2023-10-01,54
2023-11-01,36
2023-12-01,30
2024-01-01,28
2024-02-01,36
2024-03-01,34
2024-04-01,55
2024-05-01,53
2024-06-01,20
2024-07-01,19
2024-08-01,20
2024-09-01,24
2024-10-01,42
2024-11-01,34
2024-12-01,33
2025-01-01,26
2025-02-01,28
2025-03-01,32
2025-04-01,39
2025-05-01,44
2025-06-01,100
2025-07-01,39
2025-08-01,78
