ticker,name,short_name,hq_address,hq_address2,hq_city,hq_state,hq_zip,hq_country,phone,website,sector,industry,market_cap,enterprise_value,employees,currency,exchange,pe_ratio,forward_pe,dividend_yield,beta,52_week_high,52_week_low,business_summary
AEO,"American Eagle Outfitters, Inc.","American Eagle Outfitters, Inc.",77 Hot Metal Street,,Pittsburgh,PA,15203-2329,United States,412 432 3300,https://www.aeo-inc.com,Consumer Cyclical,Apparel Retail,3177735168,4976347136,9000,USD,NYQ,17.980392,9.4536085,2.73,1.429,22.63,9.27,"American Eagle Outfitters, Inc. operates as a multi-brand specialty retailer in the United States and internationally. The company provides jeans, apparel and accessories, and personal care products for women and men under the American Eagle brand; and intimates, apparel, activewear, and swim collections under the Aerie and OFFLINE by Aerie brands. It also offers menswear products under the Todd Snyder New York brand; and fashion clothing and accessories under the Unsubscribed brand. The company"
AAPL,Apple Inc.,Apple Inc.,One Apple Park Way,,Cupertino,CA,95014,United States,(408) 996-1010,https://www.apple.com,Technology,Consumer Electronics,3473692426240,3520016154624,150000,USD,NMS,35.465153,28.167269,0.44,1.109,260.1,169.21,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, and HomePod. It also provides AppleCare support and cloud services; and operates various platforms, including the App Store that allow customers to discov"
GOOGL,Alphabet Inc.,Alphabet Inc.,1600 Amphitheatre Parkway,,Mountain View,CA,94043,United States,650-253-0000,https://abc.xyz,Communication Services,Internet Content & Information,2915389669376,2858755293184,187103,USD,NMS,25.644302,26.875,0.35,1.011,242.25,140.53,"Alphabet Inc. offers various products and platforms in the United States, Europe, the Middle East, Africa, the Asia-Pacific, Canada, and Latin America. It operates through Google Services, Google Cloud, and Other Bets segments. The Google Services segment provides products and services, including ads, Android, Chrome, devices, Gmail, Google Drive, Google Maps, Google Photos, Google Play, Search, and YouTube. It is also involved in the sale of apps and in-app purchases and digital content in the "
TSLA,"Tesla, Inc.","Tesla, Inc.",1 Tesla Road,,Austin,TX,78725,United States,512 516 8177,https://www.tesla.com,Consumer Cyclical,Auto Manufacturers,1277084696576,1254194282496,125665,USD,NMS,238.51808,122.203705,0.0,2.065,488.54,212.11,"Tesla, Inc. designs, develops, manufactures, leases, and sells electric vehicles, and energy generation and storage systems in the United States, China, and internationally. The company operates in two segments, Automotive; and Energy Generation and Storage. The Automotive segment offers electric vehicles, as well as sells automotive regulatory credits; and non-warranty after-sales vehicle, used vehicles, body shop and parts, supercharging, retail merchandise, and vehicle insurance services. Thi"
MSFT,Microsoft Corporation,Microsoft Corporation,One Microsoft Way,,Redmond,WA,98052-6399,United States,425 882 8080,https://www.microsoft.com,Technology,Software - Infrastructure,3790173372416,3807790497792,228000,USD,NMS,37.30066,34.107025,0.65,1.04,555.45,344.79,"Microsoft Corporation develops and supports software, services, devices, and solutions worldwide. The company's Productivity and Business Processes segment offers Microsoft 365 Commercial, Enterprise Mobility + Security, Windows Commercial, Power BI, Exchange, SharePoint, Microsoft Teams, Security and Compliance, and Copilot; Microsoft 365 Commercial products, such as Windows Commercial on-premises and Office licensed services; Microsoft 365 Consumer products and cloud services, such as Microsof"
AMZN,"Amazon.com, Inc.","Amazon.com, Inc.",410 Terry Avenue North,,Seattle,WA,98109-5210,United States,206 266 1000,https://www.aboutamazon.com,Consumer Cyclical,Internet Retail,2433196752896,2499589701632,1546000,USD,NMS,34.726025,37.09756,0.0,1.309,242.52,161.38,"Amazon.com, Inc. engages in the retail sale of consumer products, advertising, and subscriptions service through online and physical stores in North America and internationally. The company operates through three segments: North America, International, and Amazon Web Services (AWS). It also manufactures and sells electronic devices, including Kindle, fire tablets, fire TVs, echo, ring, blink, and eero; and develops and produces media content. In addition, the company offers programs that enable "
NEE,"NextEra Energy, Inc.","NextEra Energy, Inc.",700 Universe Boulevard,,Juno Beach,FL,33408,United States,561 694 4000,https://www.nexteraenergy.com,Utilities,Utilities - Regulated Electric,147527532544,249123717120,16800,USD,NYQ,24.961674,19.46739,3.16,0.637,86.1,61.72,"NextEra Energy, Inc., through its subsidiaries, generates, transmits, distributes, and sells electric power to retail and wholesale customers in North America. The company generates electricity through wind, solar, nuclear, natural gas, and other clean energy. It also develops, constructs, and operates long-term contracted assets that consists of clean energy solutions, such as renewable generation facilities, battery storage facilities, and electric transmission facilities; sells energy commodi"
ORSTED.CO,Ørsted A/S,ORSTED A/S,Kraftvaerksvej 53,Skaerbaek,Fredericia,,7000,Denmark,45 99 55 11 11,https://www.orsted.com,Utilities,Utilities - Renewable,84173070336,160458145792,8203,DKK,CPH,14.205673,7.2704177,0.0,0.665,458.3,173.4,"Ørsted A/S, together with its subsidiaries, owns, develops, constructs, and operates offshore and onshore wind farms, solar farms, energy storage and renewable hydrogen facilities, and bioenergy plants. It operates through Offshore, Onshore, and Bioenergy & Other segments. The Offshore segment owns, develops, constructs, and operates offshore wind farms in Europe, the United States, and the Asia Pacific, as well as develops renewable hydrogen in selected core market. The Onshore segment owns, de"
INTC,Intel Corporation,Intel Corporation,2200 Mission College Boulevard,,Santa Clara,CA,95054-1549,United States,408 765 8080,https://www.intel.com,Technology,Semiconductors,112459866112,142817165312,108900,USD,NMS,0.0,24.824741,0.0,1.23,27.55,17.67,"Intel Corporation designs, develops, manufactures, markets, and sells computing and related products and services worldwide. It operates through Intel Products, Intel Foundry, and All Other segments. The company offers microprocessor and chipset, stand-alone SoC, and multichip package; Computer Systems and Devices; hardware products comprising CPUs, graphics processing units (GPUs), accelerators, and field programmable gate arrays (FPGAs); and memory and storage, connectivity and networking, and"
NVDA,NVIDIA Corporation,NVIDIA Corporation,2788 San Tomas Expressway,,Santa Clara,CA,95051,United States,408 486 2000,https://www.nvidia.com,Technology,Semiconductors,4329383919616,4274833063936,36000,USD,NMS,50.805717,43.1602,0.02,2.102,184.48,86.62,"NVIDIA Corporation, a computing infrastructure company, provides graphics and compute and networking solutions in the United States, Singapore, Taiwan, China, Hong Kong, and internationally. The Compute & Networking segment includes its Data Centre accelerated computing platforms and artificial intelligence solutions and software; networking; automotive platforms and autonomous and electric vehicle solutions; Jetson for robotics and other embedded platforms; and DGX Cloud computing services. The"
